"Add New Category","Aggiungi Nuova Categoria"
"Are you sure you want to do this?","Sei sicuro di voler fare questo?"
"Start Import","Inizia Importazione"
NOTICE,AVVISO
"Database Name","Nome Database"
"User Name","Nome Utente"
"Database Host","Host Database"
"Table Prefix","Prefisso Tabella"
Post,Articolo
"Add New Post","Aggiungere Nuovo Articolo"
Blog,Blog
"Go to Blog Home Page","Vai alla Pagina Principale del Blog"
"Monthly Archives: %s %s","Archivi Mensili: %s %s"
"Search ""%1""","Cerca ""%1"""
"Recent Blog Posts","Articoli Recenti"
"Manage %1","Gestisci %1"
"Edit %1","Modifica %1"
"New %1","Nuovo %1"
"Create %1","Crea %1"
"%1 has been saved.","%1 e' stato salvato."
"Something went wrong while saving this %1. %2","Qualcosa e' andato storto mentre si stava salvando questo %1. %2"
"We can't delete %1 right now. %2","Non possiamo cancellare %1 al momento. %2"
"%1 have been deleted.","%1 sono stati cancellati."
"Parameter ""Status"" missing in request data.","Il parametro ""Stato"" manca dai dati della richiesta."
"Status Field Name is not specified.","Il Nome del Campo Stato non e' stato specificato."
"We can't change status of %1 right now. %2","Non possiamo cambiare lo stato di %1 al momento. %2"
"%1 status have been changed.","%1 stati sono stati cambiati."
"Blog Import","Importazione Blog"
"Blog import type is not specified.","Il Tipo di importazione Blog non e' specificato."
"The import process was completed successfully. %1 posts and %2 categories where imported.","Il processo di importazione e' completato con successo. %1 articoli e %2 categorie sono state importati."
"The import process completed. %1 posts and %2 categories where imported. Some posts or categories where skipped.<br/> %3 %4","Il processo di importazione e' sttao completato con successo. %1 articoli e %2 categorie sono state importati. Alcuni articoli sono stati saltati.<br/> %3 %4"
"Nothing to import.","Niente da importare."
"Can not make import.","Impossibile importare."
"Something went wrong: ","Qualcosa e' andato storto: "
"Blog Import from WordPress","Importa Blog da WordPress"
"Please select","Perpiacere seleziona"
"Use Facebook Comments","Usa Facebook Comments"
"Use Disqus Comments","Usa Disqus Comments"
"Use Google Comments","Usa Google Comments"
"Yes (With auto trigger)","Si' (con rilevamento automatico)"
"Yes (Without auto trigger)","Si' (senza rilevamento automatico)"
"Parameter %1 is required","Il parametro %1 e' richiesto"
"AheadWorks Blog Extension not detected.","AheadWorks Blog Extension non rilevata."
"The category URL key contains disallowed symbols.","L'URL della categoria contiene lettere maiuscole o simboli vietati."
"The category URL key cannot be made of only numbers.","L'URL della categoria non puo' essere composto di soli numeri."
"The post URL key contains disallowed symbols.","L'URL dell'articolo contiene lettere maiuscole o simboli vietati."
"The post URL key cannot be made of only numbers.","L'URL dell'articolo non puo' essere composto di soli numeri."
"The tag is already exist.","Il tag esiste gia'."
"The tag URL key contains disallowed symbols.","L'URL del tag contiene lettere maiuscolo o simboli vietati."
"The tag URL key cannot be made of only numbers.","L'URL del tag non puo' essere composto di soli numeri."
"Related posts","Articoli correlati"
Posted:,Pubblicato:
Categories:,Categorie:
Tags:,Tag:
Author:,Autore:
"We can't find posts matching the selection.","Non riusciamo a trovare articoli soddisfacenti la selezione."
"Read more &#187;","Leggi di piu' &#187;"
"See more","Di piu'"
"Read %1","Leggi %1"
"&larr; Previous","&larr; Precedente"
"Next &rarr;","Successivo &rarr;"
"Related Posts","Articoli Correlati"
